iter	Passed	Remaining
0	705	704842
1	708	353753
2	1342	446085
3	1411	351353
4	3752	746844
5	4249	703937
6	7158	1015507
7	7875	976530
8	10791	1188222
9	10818	1071057
10	10971	986431
11	11291	929637
12	11613	881754
13	11676	822331
14	11679	766927
15	14667	902070
16	15003	867548
17	17853	974018
18	17918	925145
19	18075	885691
20	18216	849238
21	21225	943548
22	24183	1027285
23	24262	986679
24	27127	1057986
25	28507	1067924
26	28658	1032776
27	31584	1096437
28	31587	1057633
29	31622	1022451
30	31947	998619
31	32273	976274
32	34724	1017543
33	35338	1004037
34	37616	1037129
35	37627	1007585
36	40155	1045126
37	42829	1084264
38	42845	1055768
39	45494	1091867
40	46163	1079784
41	46738	1066085
42	49250	1096114
43	49253	1070147
44	49547	1051512
45	50140	1039860
46	52579	1066142
47	54565	1082206
48	54568	1059073
49	57195	1086717
50	59946	1115472
51	60225	1097956
52	60297	1077384
53	61653	1080080
54	64399	1106500
55	66858	1127042
56	69478	1149443
57	72177	1172269
58	74466	1187669
59	75135	1177121
60	75300	1159129
61	75303	1139264
62	78259	1163961
63	81166	1187065
64	81177	1167706
65	83548	1182339
66	84141	1171701
67	84859	1163069
68	84870	1145131
69	84873	1127599
70	85032	1112604
71	85035	1096011
72	87994	1117411
73	88073	1102105
74	91029	1122697
75	91032	1106758
76	91337	1094863
77	94101	1112327
78	94710	1104162
79	94833	1090584
80	94859	1076245
81	97015	1086095
82	97018	1071879
83	99842	1088754
84	102165	1099777
85	102885	1093454
86	103554	1086728
87	103888	1076658
88	106903	1094262
89	109959	1111813
90	113028	1129047
91	114486	1129931
92	114491	1116598
93	117292	1130500
94	118778	1131520
95	121238	1141662
96	121392	1130080
97	121404	1117415
98	123896	1127587
99	126650	1139857
100	129718	1154625
101	130422	1148230
102	133293	1160817
103	135714	1169236
104	138660	1181918
105	138664	1169491
106	141146	1177977
107	141873	1171773
108	144438	1180684
109	144474	1168932
110	145207	1162970
111	148154	1174655
112	148168	1163060
113	148202	1151819
114	148265	1141003
115	150627	1147883
116	153623	1159397
117	153626	1148289
118	156703	1160130
119	156705	1149176
120	156740	1138635
121	159062	1144726
122	159065	1134151
123	161354	1139892
124	161519	1130637
125	163199	1132036
126	163211	1121917
127	163538	1114105
128	163549	1104277
129	165726	1109092
130	165791	1099792
131	168580	1108545
132	168583	1098960
133	170781	1103707
134	171132	1096516
135	171471	1089348
136	171760	1081966
137	171763	1072902
138	172095	1066004
139	172805	1061521
140	175739	1070639
141	175769	1062044
142	178640	1070591
143	180827	1074920
144	183777	1083653
145	184125	1077009
146	184154	1068594
147	184503	1062143
148	184847	1055741
149	184876	1047631
150	187837	1056119
151	187840	1047953
152	190632	1055329
153	190714	1047691
154	193188	1053186
155	195870	1059708
156	198725	1067043
157	198882	1059867
158	199174	1053497
159	199177	1045683
160	199208	1038109
161	202202	1045959
162	202205	1038318
163	205190	1045968
164	205271	1038797
165	207684	1043426
166	207689	1035958
167	210057	1040282
168	210061	1032906
169	213084	1040355
170	213156	1033371
171	213166	1026175
172	215533	1030326
173	215545	1023222
174	215619	1016492
175	215644	1009610
176	218139	1014285
177	220591	1018687
178	222777	1021789
179	223137	1016515
180	226149	1023293
181	227627	1023074
182	230658	1029768
183	233108	1033785
184	233156	1027148
185	233160	1020390
186	233514	1015226
187	233518	1008602
188	233682	1002734
189	235960	1005935
190	236462	1001559
191	236472	995156
192	239445	1001204
193	241827	1004705
194	244757	1010408
195	247226	1014134
196	250090	1019406
197	253134	1025324
198	256183	1031169
199	257664	1030659
200	260711	1036362
201	263180	1039692
202	263185	1033293
203	265584	1036302
204	266305	1032744
205	266372	1026698
206	269392	1032020
207	271727	1034653
208	274611	1039320
209	274624	1033112
210	277683	1038351
211	278035	1033452
212	278733	1029875
213	281171	1032714
214	281271	1026968
215	281343	1021172
216	281373	1015279
217	284428	1020287
218	285146	1016891
219	287424	1019051
220	290395	1023611
221	293430	1028330
222	296498	1033091
223	296623	1027589
224	299677	1032221
225	300024	1027517
226	300356	1022800
227	300508	1017509
228	303594	1022144
229	306654	1026626
230	308137	1025790
231	308165	1020133
232	311251	1024590
233	311977	1021259
234	315049	1025585
235	315079	1020004
236	315805	1016706
237	318239	1018901
238	318306	1013520
239	318309	1007979
240	318338	1002567
241	319772	1001601
242	322837	1005711
243	325322	1007966
244	327566	1009440
245	330023	1011536
246	330090	1006307
247	332492	1008202
248	332560	1003024
249	333288	999866
250	334016	996727
251	334346	992425
252	334860	988698
253	336340	987835
254	339190	990967
255	339217	985850
256	341337	986823
257	344224	989979
258	344300	985045
259	346408	985931
260	349213	988768
261	352033	991607
262	352198	986958
263	352533	982819
264	355520	986066
265	358281	988640
266	360544	989809
267	361161	986455
268	363987	989126
269	366449	990769
270	366483	985854
271	368939	987455
272	368942	982496
273	368947	977575
274	371377	979087
275	373834	980639
276	376772	983416
277	379219	984880
278	381388	985594
279	384490	988690
280	386941	990074
281	389927	992795
282	392376	994112
283	395410	996879
284	395414	992005
285	397790	993084
286	399168	991663
287	402055	993970
288	405131	996706
289	406611	995497
290	409402	997478
291	409568	993062
292	411881	993857
293	414479	995315
294	414819	991347
295	416086	989611
296	417353	987877
297	417377	983218
298	420407	985636
299	423394	987921
300	425573	988290
301	425637	983759
302	425727	979314
303	427168	977991
304	430223	980345
305	430574	976530
306	430603	972013
307	432994	972832
308	435864	974700
309	438908	976926
310	441429	977957
311	443875	978801
312	446377	979748
313	448320	979451
314	450564	979799
315	451100	976433
316	452304	974523
317	452569	970605
318	455131	971613
319	457629	972463
320	460279	973613
321	462064	972918
322	463267	970998
323	465799	971854
324	468374	972778
325	468444	968502
326	470609	968563
327	473195	969474
328	475598	969989
329	475945	966314
330	476097	962264
331	478663	963093
332	481447	964340
333	484160	965421
334	487051	966833
335	489762	967864
336	491945	967834
337	494232	967993
338	496920	968920
339	499774	970150
340	502726	971545
341	505486	972544
342	506073	969360
343	506770	966399
344	509517	967345
345	512402	968528
346	514610	968416
347	517379	969343
348	520007	969985
349	522220	969837
350	525026	970774
351	527923	971859
352	530588	972495
353	532830	972340
354	534196	970582
355	536980	971392
356	539546	971787
357	541668	971371
358	541956	967672
359	541986	963531
360	544902	964523
361	547557	965032
362	550404	965861
363	550408	961702
364	553152	962333
365	555960	963056
366	558730	963695
367	561483	964287
368	561487	960158
369	564307	960848
370	564646	957311
371	564925	953691
372	567714	954307
373	570580	955036
374	572707	954511
375	575612	955271
376	577122	953705
377	580073	954513
378	580076	950468
379	582308	950082
380	582313	946068
381	583694	944302
382	586578	944958
383	587210	941983
384	587529	938521
385	590456	939224
386	593194	939608
387	593277	935788
388	594618	933963
389	594886	930463
390	597709	930959
391	599651	930071
392	602477	930543
393	604761	930165
394	605418	927285
395	608260	927751
396	611106	928204
397	613990	928699
398	616661	928855
399	618904	928356
400	621630	928570
401	624390	928819
402	624420	925010
403	627374	925532
404	628056	922700
405	630212	922034
406	630215	918226
407	631554	916373
408	634389	916685
409	637099	916801
410	637110	913036
411	639263	912346
412	642159	912705
413	642194	908999
414	645073	909320
415	646479	907557
416	646800	904279
417	649549	904396
418	652327	904540
419	655033	904570
420	657872	904769
421	660575	904769
422	661213	901938
423	661915	899205
424	664544	899090
425	664622	895523
426	664696	891969
427	667208	891690
428	669924	891670
429	672045	890851
430	673464	889098
431	676227	889114
432	679142	889315
433	681404	888652
434	683822	888183
435	686639	888221
436	689546	888362
437	689551	884766
438	692235	884610
439	692246	881040
440	692249	877477
441	694991	877387
442	697232	876655
443	697313	873212
444	697377	869762
445	700241	869807
446	702986	869690
447	705658	869471
448	705662	865969
449	706325	863286
450	708520	862478
451	711214	862268
452	711548	859198
453	714424	859198
454	717119	858967
455	719350	858172
456	721956	857816
457	722249	854714
458	723679	852964
459	726346	852667
460	726944	849941
461	729728	849770
462	730050	846731
463	730375	843710
464	731680	841825
465	734038	841151
466	734125	837878
467	736495	837213
468	737752	835281
469	738868	833192
470	741414	832714
471	743741	831982
472	743770	828682
473	746604	828510
474	748850	827677
475	749012	824542
476	751865	824372
477	754584	824044
478	757604	824033
479	759090	822348
480	761877	822067
481	764405	821498
482	766544	820504
483	769257	820117
484	771990	819742
485	773373	817929
486	776123	817558
487	778445	816729
488	780446	815558
489	782774	814724
490	783071	811778
491	785622	811170
492	788456	810846
493	790663	809869
494	790741	806716
495	791247	804010
496	791321	800874
497	794178	800557
498	797142	800337
499	800187	800187
500	801651	798451
501	803982	797576
502	806484	796864
503	807955	795130
504	808113	792111
505	811124	791888
506	814144	791663
507	817134	791397
508	820153	791149
509	823117	790838
510	825306	789774
511	828282	789456
512	831354	789219
513	831427	786135
514	834493	785881
515	837591	785648
516	837596	782512
517	837623	779410
518	837634	776304
519	840292	775654
520	843206	775232
521	845554	774281
522	845639	771262
523	848104	770415
524	850874	769838
525	853109	768771
526	853270	765838
527	853286	762786
528	855967	762118
529	858975	761732
530	861998	761350
531	862356	758614
532	862359	755576
533	862388	752570
534	862456	749611
535	864836	748664
536	867077	747591
537	870170	747246
538	870893	744864
539	870921	741896
540	873994	741522
541	877047	741121
542	879492	740198
543	880445	738020
544	883533	737628
545	886657	737256
546	886823	734425
547	886853	731491
548	889938	731079
549	892847	730511
550	895569	729783
551	895710	726953
552	898250	726071
553	900579	725015
554	903087	724096
555	906160	723624
556	908639	722670
557	908802	719876
558	910009	717914
559	913115	717447
560	916180	716940
561	919256	716431
562	922336	715916
563	924825	714936
564	927502	714094
565	928194	711724
566	931307	711210
567	934369	710647
568	937404	710055
569	940406	709429
570	942833	708363
571	944831	706972
572	944836	704092
573	947181	702960
574	947866	700596
575	950893	699962
576	953922	699322
577	956189	698117
578	958306	696799
579	960723	695696
580	963057	694528
581	965575	693488
582	968720	692892
583	969324	690477
584	972409	689828
585	975388	689096
586	976109	686768
587	979112	686044
588	979117	683220
589	981428	682009
590	981721	679397
591	984678	678629
592	987704	677901
593	990779	677199
594	993819	676465
595	996037	675166
596	998462	674003
597	1001322	673129
598	1004164	672236
599	1006427	670951
600	1008668	669648
601	1011734	668887
602	1014828	668137
603	1014865	665375
604	1016626	663747
605	1019680	662960
606	1022643	662106
607	1025722	661321
608	1026048	658760
609	1029123	657964
610	1032205	657165
611	1033679	655338
612	1036684	654480
613	1036695	651733
614	1039792	650927
615	1042892	650114
616	1044450	648338
617	1047430	647440
618	1050322	646482
619	1053371	645614
620	1056426	644743
621	1059470	643858
622	1059806	641327
623	1059835	638618
624	1062987	637792
625	1064924	636232
626	1064940	633529
627	1065007	630864
628	1065023	628177
629	1067881	627168
630	1070932	626266
631	1073324	624973
632	1075516	623561
633	1078542	622628
634	1078572	619967
635	1080920	618639
636	1083047	617184
637	1086012	616201
638	1089060	615259
639	1092159	614339
640	1095289	613430
641	1098320	612459
642	1101278	611440
643	1103597	610063
644	1105823	608631
645	1108905	607666
646	1108916	605019
647	1111773	603926
648	1113158	602032
649	1115947	600894
650	1115976	598273
651	1118688	597091
652	1118703	594472
653	1118772	591889
654	1118781	589281
655	1120789	587731
656	1122239	585887
657	1125098	584777
658	1127312	583328
659	1129334	581778
660	1132303	580712
661	1133027	578494
662	1136041	577444
663	1138342	576028
664	1140502	574538
665	1140531	571978
666	1143234	570760
667	1143237	568195
668	1146185	567096
669	1148582	565719
670	1150937	564319
671	1153953	563239
672	1156847	562093
673	1156999	559616
674	1159961	558499
675	1162919	557375
676	1165979	556294
677	1166049	553787
678	1169152	552721
679	1169501	550353
680	1169846	547989
681	1172926	546906
682	1175985	545808
683	1176143	543364
684	1176851	541180
685	1176856	538677
686	1179915	537574
687	1182942	536450
688	1186029	535348
689	1188423	533929
690	1190951	532567
691	1193986	531427
692	1197072	530304
693	1200115	529157
694	1202499	527715
695	1204703	526192
696	1204708	523711
697	1207781	522564
698	1210791	521385
699	1210955	518981
700	1211111	516579
701	1212612	514755
702	1215620	513569
703	1215631	511117
704	1218734	509967
705	1221753	508775
706	1223955	507240
707	1226250	505741
708	1229178	504500
709	1232139	503268
710	1234362	501731
711	1236569	500185
712	1239557	498952
713	1241891	497452
714	1244196	495938
715	1244201	493510
716	1247067	492217
717	1247743	490060
718	1247746	487645
719	1250738	486398
720	1253798	485173
721	1256831	483932
722	1259802	482663
723	1262466	481271
724	1265420	479987
725	1265422	477583
726	1268301	476267
727	1268977	474123
728	1271882	472812
729	1274209	471282
730	1276522	469746
731	1279546	468467
732	1279551	466084
733	1282603	464812
734	1282605	462435
735	1285607	461141
736	1288622	459847
737	1290902	458287
738	1293488	456834
739	1295805	455282
740	1298217	453762
741	1301289	452469
742	1304262	451138
743	1307271	449813
744	1307444	447514
745	1310511	446206
746	1313525	444875
747	1316360	443479
748	1319156	442067
749	1321452	440484
750	1323596	438848
751	1323757	436558
752	1326189	435018
753	1328811	433537
754	1331846	432188
755	1331856	429858
756	1331860	427532
757	1334965	426202
758	1338051	424862
759	1340490	423312
760	1342924	421759
761	1342997	419466
762	1343070	417179
763	1345365	415583
764	1345367	413282
765	1347707	411701
766	1350664	410306
767	1353655	408916
768	1355869	407289
769	1356532	405197
770	1359527	403802
771	1359857	401615
772	1362808	400203
773	1364449	398405
774	1366743	396796
775	1367007	394600
776	1368491	392758
777	1371480	391347
778	1374535	389951
779	1377575	388546
780	1379885	386933
781	1382481	385397
782	1383757	383493
783	1386761	382066
784	1389054	380441
785	1389127	378210
786	1390264	376272
787	1390426	374074
788	1393446	372645
789	1395794	371034
790	1395870	368820
791	1395873	366593
792	1398466	365047
793	1401280	363556
794	1403867	362003
795	1406592	360483
796	1406657	358282
797	1406662	356072
798	1406666	353867
799	1408973	352243
800	1411151	350585
801	1414100	349117
802	1416399	347485
803	1419048	345937
804	1419199	343781
805	1422161	342306
806	1422191	340127
807	1423483	338253
808	1426392	336762
809	1427101	334752
810	1427244	332613
811	1430221	331134
812	1432503	329493
813	1435218	327949
814	1438215	326466
815	1441112	324956
816	1443423	323312
817	1443426	321153
818	1445863	319537
819	1448804	318030
820	1451094	316377
821	1451106	314229
822	1451109	312085
823	1453928	310547
824	1454085	308442
825	1456608	306840
826	1459187	305247
827	1462075	303716
828	1464959	302181
829	1467887	300651
830	1470181	298990
831	1470251	296877
832	1470314	294768
833	1473199	293226
834	1476089	291682
835	1478353	290011
836	1481185	288450
837	1484158	286913
838	1487163	285379
839	1489494	283713
840	1492230	282122
841	1495205	280573
842	1495539	278528
843	1497946	276871
844	1497948	274771
845	1500658	273169
846	1500822	271104
847	1503796	269548
848	1506725	267980
849	1509776	266431
850	1512580	264834
851	1515552	263264
852	1515892	261238
853	1518210	259553
854	1518351	257498
855	1521282	255916
856	1522725	254083
857	1525716	252507
858	1528720	250930
859	1531552	249322
860	1531890	247308
861	1534612	245680
862	1534767	243642
863	1536162	241803
864	1538956	240183
865	1539284	238180
866	1541476	236466
867	1544407	234863
868	1547381	233264
869	1548853	231437
870	1551791	229829
871	1551942	227808
872	1554162	226092
873	1556813	224437
874	1558144	222592
875	1558149	220559
876	1560534	218866
877	1560561	216843
878	1560567	214822
879	1562431	213058
880	1564970	211386
881	1567627	209727
882	1569868	208012
883	1569929	206008
884	1570180	204034
885	1570834	202116
886	1573417	200446
887	1576068	198783
888	1578911	197141
889	1581213	195430
890	1583740	193746
891	1586836	192128
892	1589749	190485
893	1589760	188495
894	1590456	186589
895	1590786	184644
896	1593747	183005
897	1596073	181291
898	1598864	179627
899	1601145	177905
900	1603544	176194
901	1603700	174237
902	1604381	172342
903	1607452	170702
904	1608136	168809
905	1611043	167150
906	1611055	165190
907	1614001	163533
908	1616975	161875
909	1619326	160153
910	1622043	158465
911	1622211	156529
912	1625020	154848
913	1627285	153114
914	1627320	151171
915	1627350	149233
916	1627485	147307
917	1627518	145377
918	1627522	143448
919	1630275	141763
920	1630280	139839
921	1630283	137919
922	1630948	136059
923	1631583	134199
924	1634452	132523
925	1636691	130793
926	1638980	129067
927	1638984	127162
928	1641772	125474
929	1641776	123574
930	1644512	121881
931	1646716	120146
932	1649166	118428
933	1652213	116751
934	1652216	114859
935	1654584	113133
936	1656961	111407
937	1660024	109724
938	1661442	107931
939	1664139	106221
940	1666663	104498
941	1669420	102788
942	1669423	100908
943	1671609	99163
944	1674037	97430
945	1675368	95634
946	1678248	93925
947	1678408	92064
948	1678419	90199
949	1680589	88452
950	1680609	86592
951	1680651	84738
952	1683262	83015
953	1685861	81288
954	1688580	79566
955	1691366	77845
956	1693544	76094
957	1693546	74247
958	1694573	72447
959	1697186	70716
960	1699734	68979
961	1702487	67250
962	1702553	65414
963	1703887	63630
964	1706762	61903
965	1707083	60083
966	1709263	58330
967	1709592	56515
968	1710310	54715
969	1711696	52939
970	1714684	51210
971	1717407	49472
972	1720043	47729
973	1722856	45990
974	1725176	44235
975	1726452	42453
976	1726454	40643
977	1726482	38837
978	1726641	37037
979	1728012	35265
980	1728063	33469
981	1730788	31725
982	1733403	29977
983	1734036	28195
984	1734039	26406
985	1736572	24657
986	1736602	22873
987	1739153	21123
988	1740388	19357
989	1741514	17591
990	1744213	15840
991	1746263	14082
992	1749079	12329
993	1749392	10559
994	1749395	8790
995	1751534	7034
996	1753980	5277
997	1756702	3520
998	1756774	1758
999	1757094	0
